B aaa
C1#CCC2CCCC3C4=C5C(C=C6CC7=C8C(=CC7)C7CCCC9C=CC%10%11C(CCCCC(C4)C%10C5(CC1)C6C8%11)C97)C(C1=CCCCC1)C23 agt
C1#CCC2CCCC3C4=C5C(C=C6CC7=C8C(=CC7)C7CCCC9C=CC%10(CC97)C8C6C5(CC1)C%10CC4)CC23 agu
C1#CCC2CCCC3C4=C5C(C=CC6CC7(C=CCCC7)C(CC4)C56CC1)CC23 agv
C1#CCC2CCCC3C4=C5C(C=CC6CC78C=CCCC7CC=CCC8(CC4)C56CC1)CC23 agw
C1#CCC2CCCC3C4=C5C(C=CC6CC78C=CCCC7CCCCC(C4)C8C56CC1)CC23 agx
C1#CCC2CCCC3C4=C5C(C=CC6CCC(CC4)C56CC1)CC23 agy
C1#CCC2CCCC3CCC(CC1)C3C2 agz
C1#CCC2CCCC3CCC(CCC4CCC(C1)O4)C23 agA
C1#CCC2CCCC3CCC45CCCC6CCCC(=CCC4C23)C65CC1 agB
C1#CCC2CCCC3CCC4C(C=CCC4C23)CC1 agC
C1#CCC2CCCC3CCC4C(CC=C5C6CCCC7CCCC(CC76)C54CC1)C23 agD
C1#CCC2CCCOC2c2cccc(c2)OCC1 agE
C1#CCC2CCNC(C#CC=C1)C2 agF
C1#CCC2CCOC(C2)OCCCCC1 agG
C1#CCC2CNC2CC#CC=C1 agH
C1#CCC2Cc3ccc(cc3)CCC3CCCNC(CCCC(C=CCCCC1)N2)C3 agI
C1#CCC2OC=CC3OCCCCc4ccc(cc4C1)CCCCOC32 agJ
C1#CCC2OC=CC3Oc4c(cccc4C32)OCC1 agK
